ID,Name,Price,"Quantity on Hand"
648,"Strawberry Wardrobe",$719.99,76
649,"English vermillion Plant Stand",$42.99,20
650,"Amaranth pink Bed",$389.99,0
651,"Raw sienna Coffee Table",$200,25
652,"Burgundy Ottoman",$52.99,72
653,"Spring green Loveseat",$269.99,31
654,"Light blue End Table",$39.99,46
655,"Champagne pink Ottoman",$52.99,49
656,"Bright navy blue Futon",$219.99,31
657,"Citrine End Table",$39.99,67
658,"Old lavender Dresser",$699.99,8
659,"Arctic lime Daybed",$311.99,36
660,"Middle red Sectional","$1,039.99",85
661,"Neon green Crib",$289,3
662,"USAFA blue Reclining Sofa","$1,119.99",61
663,"Gray End Table",$39.99,91
664,"Mimi pink Dining Table",$800,25
665,"Amaranth pink Stool",$54.99,19
666,"Coral pink Sleeper Sofa","$1,279.99",6
667,"Old gold Bench",$114.99,6
668,"UP Forest green Dresser",$699.99,27
669,"Terra cotta Bench",$114.99,44
670,"Linen Futon",$219.99,94
671,"Pastel pink Reclining Loveseat","$1,023.99",22
672,"Cameo pink Bed",$389.99,78
673,"Laurel green Bed",$389.99,39
674,"Solid pink Chaise Lounge",$235.99,92
675,"Alabaster Crib",$289,40
676,"Blast-off bronze End Table",$39.99,92
677,"Middle blue Reclining Loveseat","$1,023.99",83
678,"Indian red Loveseat",$269.99,17
679,"Bistre brown Nightstand",$81.99,36
680,"Deep pink Dresser",$699.99,83
681,"Han blue Dining Table",$800,60
682,"Italian sky blue Bed",$389.99,100
683,"Screamin' Green Futon",$219.99,47
684,"Rifle green Headboard",$222.99,46
685,"Copper red Chaise Lounge",$235.99,87
686,"Russian green Stool",$54.99,59
687,"Tawny Plant Stand",$42.99,56
688,"Blue-violet Loveseat",$269.99,38
689,"Medium aquamarine Sectional","$1,039.99",2
690,"Sunglow Nightstand",$81.99,44
691,"Spring bud Sectional","$1,039.99",13
692,"Medium orchid Crib",$289,95
693,"Celadon blue Sofa",$649.99,7
694,"Schauss pink Bed",$389.99,38
695,"Mountbatten pink Sleeper Sofa","$1,279.99",27
696,"Persian blue Coffee Table",$200,81
697,"Vanilla ice Sleeper Sofa","$1,279.99",42
698,"Mountbatten pink Wardrobe",$719.99,32
699,"Violet-blue Sofa",$649.99,36
700,"Old mauve Futon",$219.99,59
701,"Lemon glacier Bed",$389.99,32
702,"Copper rose Stool",$54.99,7
703,"Paradise pink Dining Chair",$89.99,9
704,"Black bean Dresser",$699.99,2
705,"French raspberry Nightstand",$81.99,19
706,"Lava Chaise Lounge",$235.99,62
707,"Rebecca Purple Dining Table",$800,83
708,"Purple navy Daybed",$311.99,7
709,"Brown sugar Sleeper Sofa","$1,279.99",50
710,"Parchment Loveseat",$269.99,14
711,"Shocking pink Sleeper Sofa","$1,279.99",62
712,"Dim gray Dining Chair",$89.99,43
713,"True Blue Stool",$54.99,84
714,"Bottle green Loveseat",$269.99,33
715,"Big dip o’ruby Stool",$54.99,22
716,"Tea green Headboard",$222.99,59
717,"Burnt sienna Headboard",$222.99,92
718,"Maximum green yellow Ottoman",$52.99,43
719,"Brick red Reclining Sofa","$1,119.99",1
720,"Navy blue Dining Chair",$89.99,68
721,"Medium spring green Sofa",$649.99,66
722,"Venetian red Storage Bench",$194.99,18
723,"Lemon glacier Chaise Lounge",$235.99,16
724,"Deep saffron End Table",$39.99,19
725,"Blast-off bronze Headboard",$222.99,89
726,"Lemon glacier Bed",$389.99,81
727,"French lime End Table",$39.99,40
728,"Blaze orange Bench",$114.99,57
729,"Lime Dresser",$699.99,18
730,"Midnight green Daybed",$311.99,2
731,"Upsdell red Nightstand",$81.99,62
732,"Light salmon Bed",$389.99,56
733,"Bright green Daybed",$311.99,73
734,"Cadmium orange Nightstand",$81.99,71
735,"Gray Loveseat",$269.99,31
736,"Deep cerise Crib",$289,98
737,"Radical Red Dining Table",$800,86
738,"Light coral Daybed",$311.99,82
739,"Purple pizzazz Chaise Lounge",$235.99,88
740,"Copper Bench",$114.99,3
741,"Sugar Plum End Table",$39.99,77
742,"Spanish viridian Dining Table",$800,82
743,"Pine green Ottoman",$52.99,63
744,"Orange Dining Table",$800,24
745,"Rose vale Ottoman",$52.99,18
746,"Coffee Loveseat",$269.99,9
747,"Thulian pink Dresser",$699.99,77
748,"Chrome yellow Headboard",$222.99,53
749,"Liseran purple Bed",$389.99,27
750,"Medium carmine Reclining Sofa","$1,119.99",41
751,"Rose taupe Coffee Table",$200,31
752,"Razzle dazzle rose Sofa",$649.99,85
753,"Middle blue Stool",$54.99,38
754,"May green Chaise Lounge",$235.99,97
755,"Key lime Dining Chair",$89.99,39
756,"Olive Drab Crib",$289,55
757,"Tropical rainforest Storage Bench",$194.99,78
758,"Gold Bed",$389.99,0
759,"Lemon curry Daybed",$311.99,32
760,"Copper Storage Bench",$194.99,28
761,"Moss green Dining Chair",$89.99,99
762,"Cosmic latte Chaise Lounge",$235.99,25
763,"Hunter green Sofa",$649.99,94
764,"Ochre Reclining Sofa","$1,119.99",35
765,"Seal brown Sleeper Sofa","$1,279.99",83
766,"Maroon Wardrobe",$719.99,21
767,"Steel Teal Coffee Table",$200,84
768,"Wood brown Reclining Sofa","$1,119.99",8
769,"Indian red Coffee Table",$200,67
770,"Brown sugar Sleeper Sofa","$1,279.99",78
771,"Iceberg Reclining Loveseat","$1,023.99",50
772,"Blue-gray Chaise Lounge",$235.99,75
773,"Peach puff Dresser",$699.99,2
774,"Black olive Chaise Lounge",$235.99,74
775,"Palatinate purple Futon",$219.99,73
776,"Pink Sherbet End Table",$39.99,73
777,"Green Daybed",$311.99,3
778,"Mint green Dresser",$699.99,51
779,"Persimmon Chaise Lounge",$235.99,18
780,"Corn End Table",$39.99,78
781,"Orchid pink Sectional","$1,039.99",64
782,"Mountain Meadow green Sleeper Sofa","$1,279.99",15
783,"Charm pink Storage Bench",$194.99,22
784,"Fern green Loveseat",$269.99,65
785,"Powder blue Sleeper Sofa","$1,279.99",69
786,"Dark jungle green Headboard",$222.99,49
787,"Amethyst Loveseat",$269.99,83
788,"Myrtle Crib",$289,7
789,"Powder blue Bed",$389.99,70
790,"Green Lizard End Table",$39.99,90
791,"English vermillion Reclining Loveseat","$1,023.99",78
792,"Baby powder blue Dining Chair",$89.99,94
793,"Seal brown Bed",$389.99,69
794,"Volt green Bed",$389.99,100
795,"Cocoa brown Wardrobe",$719.99,97
796,"Dark orchid Plant Stand",$42.99,2
797,"Pacific blue Bench",$114.99,64
798,"Steel blue Daybed",$311.99,63
799,"Amethyst Sofa",$649.99,51
800,"Lemon yellow Stool",$54.99,18
801,"Wild blue yonder Sleeper Sofa","$1,279.99",94
802,"Aquamarine Wardrobe",$719.99,73
803,"Rufous Bench",$114.99,89
804,"Apple green Storage Bench",$194.99,1
805,"Livid blue Crib",$289,1
806,"Celadon blue Futon",$219.99,49
807,"Spanish carmine Daybed",$311.99,53
808,"Deep taupe Plant Stand",$42.99,16
809,"Carnation pink Plant Stand",$42.99,13
810,"Saddle brown Dining Chair",$89.99,24
811,"Shiny Shamrock Plant Stand",$42.99,30
812,"Battleship grey Nightstand",$81.99,73
813,"Strawberry Blonde Loveseat",$269.99,75
814,"Teal blue Wardrobe",$719.99,100
815,"Ruby red End Table",$39.99,3
816,"Japanese violet Sofa",$649.99,26
817,"Medium violet-red Reclining Sofa","$1,119.99",81
818,"Lava Loveseat",$269.99,73
819,"Pale pink Dining Chair",$89.99,37
820,"Periwinkle Daybed",$311.99,80
821,"Rubine red Headboard",$222.99,52
822,"UP maroon Sleeper Sofa","$1,279.99",22
823,"Sandy brown Daybed",$311.99,28
824,"Safety orange Sofa",$649.99,84
825,"Peach Bench",$114.99,41
826,"Red Salsa End Table",$39.99,89
827,"Viridian green Sofa",$649.99,34
828,"Sky blue Wardrobe",$719.99,10
829,"Falu red End Table",$39.99,12
830,"Earth yellow Reclining Sofa","$1,119.99",94
831,"Mint Dresser",$699.99,55
832,"Mauvelous Chaise Lounge",$235.99,0
833,"Tuscan red Futon",$219.99,42
834,"Lemon curry Sofa",$649.99,0
835,"Lemon yellow Chaise Lounge",$235.99,19
836,"Cameo pink Sectional","$1,039.99",62
837,"Paradise pink Bench",$114.99,63
838,"Dark olive green Daybed",$311.99,87
839,"Dark brown Sectional","$1,039.99",82
840,"Little boy blue Crib",$289,1
841,"Dark sea green Dining Table",$800,10
842,"French lime Futon",$219.99,6
843,"Sunset Sleeper Sofa","$1,279.99",85
844,"Cosmic latte Coffee Table",$200,74
845,"Apple green Storage Bench",$194.99,11
846,"Electric lime Reclining Sofa","$1,119.99",89
847,"Arctic lime Dining Chair",$89.99,16
848,"Cerulean frost Storage Bench",$194.99,50
849,"Cerulean frost Ottoman",$52.99,10
850,"Dark goldenrod Bench",$114.99,11
851,"Lemon curry Headboard",$222.99,72
852,"Hot magenta Sofa",$649.99,61
853,"Salmon pink Futon",$219.99,43
854,"Candy pink Headboard",$222.99,59
855,"Lavender Coffee Table",$200,66
856,"Brandy Daybed",$311.99,40
857,"Cardinal Reclining Sofa","$1,119.99",24
858,"Sweet Brown Plant Stand",$42.99,86
859,"Han purple Bench",$114.99,14
860,"Onyx End Table",$39.99,8
861,"Harvest gold Chaise Lounge",$235.99,1
862,"Dark orange End Table",$39.99,65
863,"Screamin' Green Dining Table",$800,33
864,"Green Chaise Lounge",$235.99,36
865,"Light blue Plant Stand",$42.99,90
866,"Copper penny Crib",$289,24
867,"Blue Nightstand",$81.99,63
868,"Lava Storage Bench",$194.99,36
869,"Cobalt blue Ottoman",$52.99,16
870,"Royal purple Dresser",$699.99,35
871,"Dark orange Plant Stand",$42.99,82
872,"Deep taupe Storage Bench",$194.99,84
873,"University of Pennsylvania red Sectional","$1,039.99",71
874,"Seashell Reclining Sofa","$1,119.99",95
875,"Cadmium yellow Storage Bench",$194.99,23
876,"Cameo pink Dining Chair",$89.99,31
877,"Amber Reclining Sofa","$1,119.99",34
878,"Jasmine Loveseat",$269.99,74
879,"Dark spring green Chaise Lounge",$235.99,87
880,"Payne's grey Nightstand",$81.99,54
881,"Mahogany Reclining Sofa","$1,119.99",12
882,"Solid pink Sleeper Sofa","$1,279.99",31
883,"Antique brass Coffee Table",$200,60
884,"Ultra pink Loveseat",$269.99,56
885,"Metallic Sunburst Plant Stand",$42.99,87
886,"Tomato red Crib",$289,66
887,"Rose Coffee Table",$200,91
888,"Olive Drab Futon",$219.99,23
889,"Light French beige Wardrobe",$719.99,25
890,"Blue bell Sleeper Sofa","$1,279.99",66
891,"Heliotrope gray Daybed",$311.99,22
892,"Brown Nightstand",$81.99,69
893,"Carnation pink Plant Stand",$42.99,92
894,"Golden poppy Bed",$389.99,87
895,"Lemon Futon",$219.99,40
896,"Windsor tan Storage Bench",$194.99,77
897,"Copper Reclining Loveseat","$1,023.99",41
898,"Canary Loveseat",$269.99,82
899,"Espresso Futon",$219.99,58
900,"Periwinkle Headboard",$222.99,57
901,"Medium violet-red End Table",$39.99,47
902,"Honeydew Crib",$289,51
903,"Black coffee Wardrobe",$719.99,66
904,"Olive green Reclining Loveseat","$1,023.99",23
905,"Black bean End Table",$39.99,44
906,"Champagne pink Reclining Loveseat","$1,023.99",48
907,"Sand dune Stool",$54.99,22
908,"Persian blue Bed",$389.99,35
909,"Phthalo green Sofa",$649.99,68
910,"Citron Futon",$219.99,21
911,"Ruby red Coffee Table",$200,12
912,"Harvest gold Bed",$389.99,91
913,"Majorelle blue Bench",$114.99,22
914,"Bottle green Stool",$54.99,28
915,"Sky magenta Storage Bench",$194.99,98
916,"Maximum purple Dining Table",$800,68
917,"Maximum green Sleeper Sofa","$1,279.99",79
918,"Rusty red End Table",$39.99,31
919,"Rose taupe Daybed",$311.99,79
920,"Acid green Crib",$289,59
921,"Vivid sky blue Ottoman",$52.99,98
922,"Fawn Daybed",$311.99,2
923,"Cornflower blue Nightstand",$81.99,8
924,"Light cornflower blue Sectional","$1,039.99",30
925,"Falu red Dining Chair",$89.99,80
926,"Eggplant Reclining Loveseat","$1,023.99",78
927,"Café noir Crib",$289,32
928,"Pansy purple End Table",$39.99,52
929,"Aqua Reclining Sofa","$1,119.99",16
930,"Papaya whip Crib",$289,65
931,"Dark spring green Ottoman",$52.99,45
932,"Sepia Daybed",$311.99,59
933,"Red-violet Futon",$219.99,58
934,"Olive green Headboard",$222.99,76
935,"Jungle green Wardrobe",$719.99,53
936,"Van Dyke brown Ottoman",$52.99,27
937,"Baby pink End Table",$39.99,38
938,"Light sea green Dresser",$699.99,86
939,"Shamrock green Chaise Lounge",$235.99,23
940,"USAFA blue Coffee Table",$200,63
941,"China rose Bed",$389.99,32
942,"Yellow-green End Table",$39.99,85
943,"Dark orchid Headboard",$222.99,52
944,"Green-yellow Wardrobe",$719.99,67
945,"Tyrian purple Daybed",$311.99,92
946,"Glossy grape Dining Chair",$89.99,66
947,"French blue Bed",$389.99,53
948,"Forest green Bench",$114.99,70
949,"Jungle green Loveseat",$269.99,11
950,"Phthalo blue Sectional","$1,039.99",42
951,"Apple green Plant Stand",$42.99,80
952,"Lawn green Storage Bench",$194.99,6
953,"UP Forest green Nightstand",$81.99,83
954,"Laser lemon Chaise Lounge",$235.99,74
955,"Olive Drab Bench",$114.99,51
956,"Mahogany Futon",$219.99,56
957,"Android green Dresser",$699.99,75
958,"Baker-Miller pink Sleeper Sofa","$1,279.99",13
959,"Castleton green Dining Chair",$89.99,64
960,"Fire engine red Futon",$219.99,58
961,"Amaranth red Plant Stand",$42.99,6
962,"UP Forest green Nightstand",$81.99,83
963,"Tyrian purple Reclining Sofa","$1,119.99",46
964,"Ruby Futon",$219.99,6
965,"Honeydew Futon",$219.99,97
966,"Yellow Sunshine Dining Table",$800,96
967,"Black Dresser",$699.99,56
968,"Maximum yellow Chaise Lounge",$235.99,14
969,"Mandarin Bed",$389.99,54
970,"Light French beige Futon",$219.99,93
971,"Mango Tango Stool",$54.99,41
972,"White Wardrobe",$719.99,94
973,"Thulian pink Ottoman",$52.99,45
974,"Pale silver Plant Stand",$42.99,70
975,"Wild blue yonder Dresser",$699.99,99
976,"Sage green Headboard",$222.99,13
977,"Columbia Blue Futon",$219.99,57
978,"Fuzzy Wuzzy brown Stool",$54.99,28
979,"China pink Futon",$219.99,0
980,"Carmine Sectional","$1,039.99",92
981,"Tea rose Ottoman",$52.99,7
982,"Brown sugar Bed",$389.99,31
983,"UA red Stool",$54.99,11
984,"Spanish red Headboard",$222.99,16
985,"Old lace Stool",$54.99,50
986,"Antique bronze Reclining Sofa","$1,119.99",7
987,"Vivid sky blue Loveseat",$269.99,59
988,"Lemon curry Sofa",$649.99,3
989,"Brown Storage Bench",$194.99,49
990,"Flame Sectional","$1,039.99",55
991,"Lion gold Storage Bench",$194.99,96
992,"Sepia Sleeper Sofa","$1,279.99",95
993,"Lapis lazuli Sectional","$1,039.99",89
994,"Air superiority blue Crib",$289,24
995,"Rose quartz Ottoman",$52.99,53
996,"Saffron Stool",$54.99,9
997,"French violet Bench",$114.99,35
998,"Cyber grape Bed",$389.99,58
999,"Picotee blue Daybed",$311.99,13
1000,"Opal Ottoman",$52.99,41
1001,"Old lace Sofa",$649.99,24
1002,"Rose bonbon Daybed",$311.99,99
1003,"Mint cream Wardrobe",$719.99,11
1004,"Smoky black Dining Table",$800,12
1005,"Granny Smith apple Sofa",$649.99,61
1006,"Sepia Sofa",$649.99,4
1007,"Raspberry Bed",$389.99,47
1008,"Cream Reclining Sofa","$1,119.99",39
1009,"Dodger blue Dining Chair",$89.99,18
1010,"Magenta Bed",$389.99,87
1011,"Amaranth red Crib",$289,79
1012,"Golden poppy Coffee Table",$200,78
1013,"Lion gold Stool",$54.99,14
1014,"Pullman Brown Wardrobe",$719.99,62
1015,"Cosmic cobalt Stool",$54.99,13
1016,"Sapphire Bench",$114.99,7
1017,"Rocket metallic Dresser",$699.99,18
